# DTStamp_FHdata_calc_t_look (time_lookahead_length) 2023-06-05 10:43:10 10209824 
# rtime[1], u[2], u_next[3], accn_csv_t[4], curr_accn_t[5], max_jerk[6], curr_frate[7], profile[8], t_look[9] eps[10] rho[11] min_tang_accn[12] max_tang_accn[13] 
    0.000000  0.000000000  0.000039765 32.043266361  0.000000000 200.000000000  0.000000000   0     0.000000  0.000000083859673    22.222222   -32.043266    32.043266 
    0.001000  0.000039765  0.000039748 32.056072025 15.822191124 200.000000000  0.015822191   0     0.192396  0.000000083792394    22.234595   -32.056072    32.056072 
    0.002000  0.000079513  0.000039731 32.068913711  0.763836851 200.000000000  0.016586028   0     0.022816  0.000000083725373    22.246938   -32.068914    32.068914 
    0.003000  0.000119244  0.000039715 32.081791423  0.795434330 200.000000000  0.017381462   0     0.023452  0.000000083658611    22.259252   -32.081791    32.081791 
    0.004000  0.000158959  0.000039698 32.094705165  0.828061297 200.000000000  0.018209524   0     0.024102  0.000000083592107    22.271536   -32.094705    32.094705 
    0.005000  0.000198657  0.000039682 32.107654944  0.861738113 200.000000000  0.019071262   0     0.024767  0.000000083525860    22.283791   -32.107655    32.107655 
    0.006000  0.000238339  0.000039665 32.120640763  0.896484965 200.000000000  0.019967747   0     0.025448  0.000000083459868    22.296017   -32.120641    32.120641 
    0.007000  0.000278004  0.000039649 32.133662629  0.932321845 200.000000000  0.020900069   0     0.026143  0.000000083394131    22.308214   -32.133663    32.133663 
    0.008000  0.000317653  0.000039632 32.146720548  0.969268509 200.000000000  0.021869337   0     0.026855  0.000000083328648    22.320382   -32.146721    32.146721 
    0.009000  0.000357285  0.000039616 32.159814526  1.007344455 200.000000000  0.022876681   0     0.027582  0.000000083263417    22.332520   -32.159815    32.159815 
    0.010000  0.000396901  0.000039600 32.172944570  1.046568899 200.000000000  0.023923250   0     0.028325  0.000000083198439    22.344629   -32.172945    32.172945 
    0.011000  0.000436501  0.000039584 32.186110687  1.086960734 200.000000000  0.025010211   0     0.029084  0.000000083133712    22.356710   -32.186111    32.186111 
    0.012000  0.000476085  0.000039568 32.199312886  1.128538497 200.000000000  0.026138750   0     0.029860  0.000000083069235    22.368761   -32.199313    32.199313 
    0.013000  0.000515653  0.000039551 32.212551175  1.171320358 200.000000000  0.027310070   0     0.030652  0.000000083005008    22.380783   -32.212551    32.212551 
    0.014000  0.000555204  0.000039535 32.225825561  1.215324071 200.000000000  0.028525394   0     0.031461  0.000000082941029    22.392776   -32.225826    32.225826 
    0.015000  0.000594740  0.000039519 32.239136055  1.260566948 200.000000000  0.029785961   0     0.032287  0.000000082877297    22.404740   -32.239136    32.239136 
    0.016000  0.000634259  0.000039504 32.252482665  1.307065824 200.000000000  0.031093027   0     0.033130  0.000000082813812    22.416675   -32.252483    32.252483 
    0.017000  0.000673763  0.000039488 32.265865402  1.354837043 200.000000000  0.032447864   0     0.033991  0.000000082750573    22.428582   -32.265865    32.265865 
    0.018000  0.000713250  0.000039472 32.279284275  1.403896401 200.000000000  0.033851760   0     0.034869  0.000000082687579    22.440459   -32.279284    32.279284 
    0.019000  0.000752722  0.000039456 32.292739295  1.454259135 200.000000000  0.035306019   0     0.035765  0.000000082624829    22.452307   -32.292739    32.292739 
    0.020000  0.000792178  0.000039440 32.306230473  1.505939883 200.000000000  0.036811959   0     0.036678  0.000000082562322    22.464127   -32.306230    32.306230 
    0.021000  0.000831619  0.000039425 32.319757820  1.558952657 200.000000000  0.038370912   0     0.037610  0.000000082500058    22.475918   -32.319758    32.319758 
    0.022000  0.000871043  0.000039409 32.333321349  1.613310803 200.000000000  0.039984223   0     0.038560  0.000000082438035    22.487680   -32.333321    32.333321 
    0.023000  0.000910452  0.000039394 32.346921071  1.669026997 200.000000000  0.041653250   0     0.039528  0.000000082376252    22.499413   -32.346921    32.346921 
    0.024000  0.000949846  0.000039378 32.360557000  1.726113173 200.000000000  0.043379363   0     0.040514  0.000000082314710    22.511118   -32.360557    32.360557 
    0.025000  0.000989224  0.000039363 32.374229147  1.784580537 200.000000000  0.045163943   0     0.041519  0.000000082253406    22.522794   -32.374229    32.374229 
    0.026000  0.001028587  0.000039347 32.387937527  1.844439506 200.000000000  0.047008383   0     0.042543  0.000000082192341    22.534441   -32.387938    32.387938 
    0.027000  0.001067934  0.000039332 32.401682153  1.905699698 200.000000000  0.048914083   0     0.043585  0.000000082131513    22.546059   -32.401682    32.401682 
    0.028000  0.001107266  0.000039317 32.415463040  1.968369890 200.000000000  0.050882453   0     0.044647  0.000000082070921    22.557649   -32.415463    32.415463 
    0.029000  0.001146583  0.000039301 32.429280201  2.032458023 200.000000000  0.052914911   0     0.045727  0.000000082010565    22.569211   -32.429280    32.429280 
    0.030000  0.001185884  0.000039286 32.443133653  2.097971121 200.000000000  0.055012882   0     0.046826  0.000000081950444    22.580744   -32.443134    32.443134 
    0.031000  0.001225170  0.000039271 32.457023409  2.164915279 200.000000000  0.057177797   0     0.047945  0.000000081890557    22.592248   -32.457023    32.457023 
    0.032000  0.001264441  0.000039256 32.470949487  2.233295774 200.000000000  0.059411093   0     0.049082  0.000000081830903    22.603724   -32.470949    32.470949 
    0.033000  0.001303697  0.000039241 32.484911902  2.303116730 200.000000000  0.061714209   0     0.050239  0.000000081771482    22.615171   -32.484912    32.484912 
    0.034000  0.001342938  0.000039226 32.498910671  2.374381467 200.000000000  0.064088591   0     0.051415  0.000000081712293    22.626590   -32.498911    32.498911 
    0.035000  0.001382164  0.000039211 32.512945810  2.447092206 200.000000000  0.066535683   0     0.052610  0.000000081653334    22.637980   -32.512946    32.512946 
    0.036000  0.001421375  0.000039196 32.527017337  2.521250143 200.000000000  0.069056933   0     0.053825  0.000000081594605    22.649342   -32.527017    32.527017 
