# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-05 10:43:10 10204569 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000039765 -0.351376765 -0.936234142  0.000000000000000000 -32.043266361   0.000000000  32.043266361  0.000000083859673    22.222222  0.000000000000000 
     1     0.001000  0.000039765  0.000039748 -0.352371681 -0.935860138  0.000000000000000000 -32.056072025  15.822191124  32.056072025  0.000000083792394    22.234595 15.822191124314537 
     2     0.002000  0.000079513  0.000039731 -0.353365391 -0.935485382  0.000000000000909495 -32.068913711   0.763836851  32.068913711  0.000000083725373    22.246938  0.763836851078874 
     3     0.003000  0.000119244  0.000039715 -0.354357898 -0.935109876  0.000000000000000000 -32.081791423   0.795434330  32.081791423  0.000000083658611    22.259252  0.795434330205194 
     4     0.004000  0.000158959  0.000039698 -0.355349203 -0.934733622  0.000000000000909495 -32.094705165   0.828061297  32.094705165  0.000000083592107    22.271536  0.828061296644155 
     5     0.005000  0.000198657  0.000039682 -0.356339310 -0.934356622  0.000000000000000000 -32.107654944   0.861738113  32.107654944  0.000000083525860    22.283791  0.861738112535117 
     6     0.006000  0.000238339  0.000039665 -0.357328220 -0.933978877  0.000000000000000000 -32.120640763   0.896484965  32.120640763  0.000000083459868    22.296017  0.896484964805960 
     7     0.007000  0.000278004  0.000039649 -0.358315935 -0.933600391 -0.000000000000909495 -32.133662629   0.932321845  32.133662629  0.000000083394131    22.308214  0.932321845044094 
     8     0.008000  0.000317653  0.000039632 -0.359302459 -0.933221165  0.000000000000000000 -32.146720548   0.969268509  32.146720548  0.000000083328648    22.320382  0.969268509077019 
     9     0.009000  0.000357285  0.000039616 -0.360287793 -0.932841201  0.000000000000000000 -32.159814526   1.007344455  32.159814526  0.000000083263417    22.332520  1.007344455219224 
    10     0.010000  0.000396901  0.000039600 -0.361271940 -0.932460501  0.000000000000000000 -32.172944570   1.046568899  32.172944570  0.000000083198439    22.344629  1.046568899289717 
    11     0.011000  0.000436501  0.000039584 -0.362254902 -0.932079066  0.000000000000000000 -32.186110687   1.086960734  32.186110687  0.000000083133712    22.356710  1.086960734467651 
    12     0.012000  0.000476085  0.000039568 -0.363236681 -0.931696900  0.000000000000000000 -32.199312886   1.128538497  32.199312886  0.000000083069235    22.368761  1.128538496558737 
    13     0.013000  0.000515653  0.000039551 -0.364217280 -0.931314004 -0.000000000000909495 -32.212551175   1.171320358  32.212551175  0.000000083005008    22.380783  1.171320358430056 
    14     0.014000  0.000555204  0.000039535 -0.365196700 -0.930930379  0.000000000000000000 -32.225825561   1.215324071  32.225825561  0.000000082941029    22.392776  1.215324071136833 
    15     0.015000  0.000594740  0.000039519 -0.366174944 -0.930546028  0.000000000000000000 -32.239136055   1.260566948  32.239136055  0.000000082877297    22.404740  1.260566947985552 
    16     0.016000  0.000634259  0.000039504 -0.367152015 -0.930160953  0.000000000000000000 -32.252482665   1.307065824  32.252482665  0.000000082813812    22.416675  1.307065824408177 
    17     0.017000  0.000673763  0.000039488 -0.368127914 -0.929775155 -0.000000000000909495 -32.265865402   1.354837043  32.265865402  0.000000082750573    22.428582  1.354837042653451 
    18     0.018000  0.000713250  0.000039472 -0.369102645 -0.929388637  0.000000000000000000 -32.279284275   1.403896401  32.279284275  0.000000082687579    22.440459  1.403896401471524 
    19     0.019000  0.000752722  0.000039456 -0.370076208 -0.929001400 -0.000000000000909495 -32.292739295   1.454259135  32.292739295  0.000000082624829    22.452307  1.454259135163990 
    20     0.020000  0.000792178  0.000039440 -0.371048606 -0.928613446  0.000000000000909495 -32.306230473   1.505939883  32.306230473  0.000000082562322    22.464127  1.505939883010947 
    21     0.021000  0.000831619  0.000039425 -0.372019842 -0.928224777  0.000000000000909495 -32.319757820   1.558952657  32.319757820  0.000000082500058    22.475918  1.558952656856252 
    22     0.022000  0.000871043  0.000039409 -0.372989918 -0.927835395  0.000000000000000000 -32.333321349   1.613310803  32.333321349  0.000000082438035    22.487680  1.613310803436303 
    23     0.023000  0.000910452  0.000039394 -0.373958836 -0.927445303 -0.000000000000909495 -32.346921071   1.669026997  32.346921071  0.000000082376252    22.499413  1.669026997020720 
    24     0.024000  0.000949846  0.000039378 -0.374926597 -0.927054500  0.000000000000000000 -32.360557000   1.726113173  32.360557000  0.000000082314710    22.511118  1.726113172891772 
    25     0.025000  0.000989224  0.000039363 -0.375893205 -0.926662991  0.000000000000000000 -32.374229147   1.784580537  32.374229147  0.000000082253406    22.522794  1.784580537396246 
    26     0.026000  0.001028587  0.000039347 -0.376858662 -0.926270775 -0.000000000000909495 -32.387937527   1.844439506  32.387937527  0.000000082192341    22.534441  1.844439505658032 
    27     0.027000  0.001067934  0.000039332 -0.377822969 -0.925877856  0.000000000000000000 -32.401682153   1.905699698  32.401682153  0.000000082131513    22.546059  1.905699697962636 
    28     0.028000  0.001107266  0.000039317 -0.378786129 -0.925484235  0.000000000000000000 -32.415463040   1.968369890  32.415463040  0.000000082070921    22.557649  1.968369890372204 
    29     0.029000  0.001146583  0.000039301 -0.379748144 -0.925089913  0.000000000000909495 -32.429280201   2.032458023  32.429280201  0.000000082010565    22.569211  2.032458023126301 
    30     0.030000  0.001185884  0.000039286 -0.380709016 -0.924694893  0.000000000000000000 -32.443133653   2.097971121  32.443133653  0.000000081950444    22.580744  2.097971120645317 
    31     0.031000  0.001225170  0.000039271 -0.381668748 -0.924299176  0.000000000000000000 -32.457023409   2.164915279  32.457023409  0.000000081890557    22.592248  2.164915279188023 
    32     0.032000  0.001264441  0.000039256 -0.382627340 -0.923902765  0.000000000000000000 -32.470949487   2.233295774  32.470949487  0.000000081830903    22.603724  2.233295773711196 
    33     0.033000  0.001303697  0.000039241 -0.383584797 -0.923505660  0.000000000000000000 -32.484911902   2.303116730  32.484911902  0.000000081771482    22.615171  2.303116729590451 
    34     0.034000  0.001342938  0.000039226 -0.384541119 -0.923107864  0.000000000000000000 -32.498910671   2.374381467  32.498910671  0.000000081712293    22.626590  2.374381466981559 
    35     0.035000  0.001382164  0.000039211 -0.385496309 -0.922709378  0.000000000000000000 -32.512945810   2.447092206  32.512945810  0.000000081653334    22.637980  2.447092205859994 
    36     0.036000  0.001421375  0.000039196 -0.386450369 -0.922310204  0.000000000000000000 -32.527017337   2.521250143  32.527017337  0.000000081594605    22.649342  2.521250143466769 
    37     0.037000  0.001460572  0.000039181 -0.387403300 -0.921910344  0.000000000000000000 -32.541125270   2.596855472  32.541125270  0.000000081536106    22.660676  2.596855472056417 
    38     0.038000  0.001499753  0.000039167 -0.388355106 -0.921509800  0.000000000000000000 -32.555269626   2.673907271  32.555269626  0.000000081477835    22.671981  2.673907270569833 
    39     0.039000  0.001538920  0.000039152 -0.389305789 -0.921108573  0.000000000000000000 -32.569450425   2.752403616  32.569450425  0.000000081419792    22.683258  2.752403615563434 
    40     0.040000  0.001578072  0.000039137 -0.390255349 -0.920706665 -0.000000000000909495 -32.583667684   2.832341381  32.583667684  0.000000081361976    22.694507  2.832341381387451 
    41     0.041000  0.001617209  0.000039123 -0.391203790 -0.920304077 -0.000000000000909495 -32.597921424   2.913716420  32.597921424  0.000000081304386    22.705727  2.913716419579035 
    42     0.042000  0.001656331  0.000039108 -0.392151113 -0.919900812  0.000000000000000000 -32.612211664   2.996523423  32.612211664  0.000000081247022    22.716920  2.996523423237751 
    43     0.043000  0.001695439  0.000039093 -0.393097321 -0.919496871  0.000000000000000000 -32.626538423   3.080755915  32.626538423  0.000000081189882    22.728084  3.080755915308708 
    44     0.044000  0.001734533  0.000039079 -0.394042415 -0.919092256  0.000000000000000000 -32.640901723   3.166406366  32.640901723  0.000000081132966    22.739220  3.166406366328478 
    45     0.045000  0.001773612  0.000039065 -0.394986398 -0.918686968  0.000000000000909495 -32.655301583   3.253465906  32.655301583  0.000000081076274    22.750327  3.253465906211950 
    46     0.046000  0.001812676  0.000039050 -0.395929272 -0.918281009  0.000000000000909495 -32.669738026   3.341924825  32.669738026  0.000000081019803    22.761407  3.341924824553186 
    47     0.047000  0.001851727  0.000039036 -0.396871038 -0.917874381  0.000000000000000000 -32.684211072   3.431771907  32.684211072  0.000000080963555    22.772458  3.431771906628509 
    48     0.048000  0.001890763  0.000039022 -0.397811699 -0.917467085 -0.000000000000909495 -32.698720744   3.522994842  32.698720744  0.000000080907528    22.783482  3.522994842260707 
    49     0.049000  0.001929784  0.000039007 -0.398751257 -0.917059123  0.000000000000909495 -32.713267064   3.615580344  32.713267064  0.000000080851721    22.794477  3.615580343819799 
    50     0.050000  0.001968792  0.000038993 -0.399689714 -0.916650496  0.000000000000000000 -32.727850054   3.709513727  32.727850054  0.000000080796133    22.805445  3.709513726954397 
    51     0.051000  0.002007785  0.000038979 -0.400627071 -0.916241207  0.000000000000000000 -32.742469738   3.804779198  32.742469738  0.000000080740764    22.816384  3.804779197537842 
    52     0.052000  0.002046764  0.000038965 -0.401563331 -0.915831257  0.000000000000000000 -32.757126139   3.901359845  32.757126139  0.000000080685613    22.827295  3.901359844769261 
    53     0.053000  0.002085729  0.000038951 -0.402498496 -0.915420647  0.000000000000000000 -32.771819280   3.999237441  32.771819280  0.000000080630680    22.838179  3.999237441397935 
    54     0.054000  0.002124680  0.000038937 -0.403432568 -0.915009379  0.000000000000909495 -32.786549187   4.098392763  32.786549187  0.000000080575963    22.849034  4.098392763114300 
    55     0.055000  0.002163617  0.000038923 -0.404365549 -0.914597454  0.000000000000000000 -32.801315883   4.198805247  32.801315883  0.000000080521463    22.859862  4.198805246516391 
    56     0.056000  0.002202540  0.000038909 -0.405297440 -0.914184875 -0.000000000000909495 -32.816119393   4.300453454  32.816119393  0.000000080467177    22.870662  4.300453454481684 
    57     0.057000  0.002241449  0.000038895 -0.406228244 -0.913771642 -0.000000000000909495 -32.830959744   4.403314290  32.830959744  0.000000080413106    22.881434  4.403314290464699 
    58     0.058000  0.002280345  0.000038882 -0.407157962 -0.913357758  0.000000000000909495 -32.845836960   4.507364212  32.845836960  0.000000080359249    22.892178  4.507364212280734 
    59     0.059000  0.002319226  0.000038868 -0.408086597 -0.912943223  0.000000000000000000 -32.860751067   4.612578035  32.860751067  0.000000080305605    22.902894  4.612578035143117 
    60     0.060000  0.002358094  0.000038854 -0.409014151 -0.912528040  0.000000000000000000 -32.875702093   4.718929584  32.875702093  0.000000080252174    22.913583  4.718929584306392 
    61     0.061000  0.002396948  0.000038840 -0.409940626 -0.912112210  0.000000000000000000 -32.890690063   4.826391715  32.890690063  0.000000080198954    22.924244  4.826391714794653 
    62     0.062000  0.002435789  0.000038827 -0.410866022 -0.911695734  0.000000000000000000 -32.905715006   4.934936130  32.905715006  0.000000080145946    22.934877  4.934936129727091 
    63     0.063000  0.002474615  0.000038813 -0.411790344 -0.911278614 -0.000000000000909495 -32.920776948   5.044533487  32.920776948  0.000000080093148    22.945482  5.044533487019054 
